symbol,date,bull_prob,side_prob,bear_prob,f6_cont
SOLUSDT,2022-12-22,0.0,1.0,0.0,0.0
SOLUSDT,2022-12-23,0.0,1.0,0.0,0.0
SOLUSDT,2022-12-24,0.0,1.0,0.0,0.0
SOLUSDT,2022-12-25,0.0,1.0,0.0,0.0
SOLUSDT,2022-12-26,0.0,1.0,0.0,0.0
SOLUSDT,2022-12-27,0.0,1.0,0.0,0.0
SOLUSDT,2022-12-28,0.0,1.0,0.0,0.0
SOLUSDT,2022-12-29,0.0,1.0,0.0,0.0
SOLUSDT,2022-12-30,0.0,1.0,0.0,0.0
SOLUSDT,2022-12-31,0.0,1.0,0.0,0.0
SOLUSDT,2023-01-01,0.0,1.0,0.0,0.0
SOLUSDT,2023-01-02,0.0,0.9991,0.0009,0.0
SOLUSDT,2023-01-03,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-04,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-05,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-06,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-07,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-08,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-09,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-10,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-11,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-12,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-13,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-14,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-15,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-16,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-17,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-18,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-19,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-20,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-21,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-22,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-23,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-24,0.0,0.0001,0.9999,0.0
SOLUSDT,2023-01-25,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-26,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-27,0.0,0.0,1.0,0.0
SOLUSDT,2023-01-28,0.0,0.0,1.0,0.0
SOLUSDT,2023-01-29,1.0,0.0,0.0,1.0
SOLUSDT,2023-01-30,0.0,0.0001,0.9999,0.0
SOLUSDT,2023-01-31,1.0,0.0,0.0,1.0
SOLUSDT,2023-02-01,0.9992,0.0,0.0008,0.9992
SOLUSDT,2023-02-02,0.0,0.0001,0.9999,0.0
SOLUSDT,2023-02-03,0.9962,0.0,0.0038,0.9962
SOLUSDT,2023-02-04,1.0,0.0,0.0,1.0
SOLUSDT,2023-02-05,0.0,0.9945,0.0055,0.0
SOLUSDT,2023-02-06,0.0,0.9974,0.0026,0.0
SOLUSDT,2023-02-07,0.0,0.9984,0.0016,0.0
SOLUSDT,2023-02-08,0.0,0.9995,0.0005,0.0
SOLUSDT,2023-02-09,0.0,0.9995,0.0005,0.0
SOLUSDT,2023-02-10,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-02-11,0.0,1.0,0.0,0.0
SOLUSDT,2023-02-12,0.0,1.0,0.0,0.0
SOLUSDT,2023-02-13,0.0,1.0,0.0,0.0
SOLUSDT,2023-02-14,0.0,0.9996,0.0004,0.0
SOLUSDT,2023-02-15,1.0,0.0,0.0,1.0
SOLUSDT,2023-02-16,1.0,0.0,0.0,1.0
SOLUSDT,2023-02-17,1.0,0.0,0.0,1.0
SOLUSDT,2023-02-18,1.0,0.0,0.0,1.0
SOLUSDT,2023-02-19,1.0,0.0,0.0,1.0
SOLUSDT,2023-02-20,1.0,0.0,0.0,1.0
SOLUSDT,2023-02-21,1.0,0.0,0.0,1.0
SOLUSDT,2023-02-22,1.0,0.0,0.0,1.0
SOLUSDT,2023-02-23,1.0,0.0,0.0,1.0
SOLUSDT,2023-02-24,0.0,0.9991,0.0009,0.0
SOLUSDT,2023-02-25,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-02-26,0.0,1.0,0.0,0.0
SOLUSDT,2023-02-27,0.0,1.0,0.0,0.0
SOLUSDT,2023-02-28,0.0,1.0,0.0,0.0
SOLUSDT,2023-03-01,0.0,1.0,0.0,0.0
SOLUSDT,2023-03-02,0.0,1.0,0.0,0.0
SOLUSDT,2023-03-03,0.0,1.0,0.0,0.0
SOLUSDT,2023-03-04,0.0,1.0,0.0,0.0
SOLUSDT,2023-03-05,0.0,1.0,0.0,0.0
SOLUSDT,2023-03-06,0.0,1.0,0.0,0.0
SOLUSDT,2023-03-07,0.0,1.0,0.0,0.0
SOLUSDT,2023-03-08,0.0,1.0,0.0,0.0
SOLUSDT,2023-03-09,0.0,1.0,0.0,0.0
SOLUSDT,2023-03-10,0.0,1.0,0.0,0.0
SOLUSDT,2023-03-11,0.0,1.0,0.0,0.0
SOLUSDT,2023-03-12,0.0,1.0,0.0,0.0
SOLUSDT,2023-03-13,0.0,0.9997,0.0003,0.0
SOLUSDT,2023-03-14,1.0,0.0,0.0,1.0
SOLUSDT,2023-03-15,1.0,0.0,0.0,1.0
SOLUSDT,2023-03-16,1.0,0.0,0.0,1.0
SOLUSDT,2023-03-17,1.0,0.0,0.0,1.0
SOLUSDT,2023-03-18,1.0,0.0,0.0,1.0
SOLUSDT,2023-03-19,1.0,0.0,0.0,1.0
SOLUSDT,2023-03-20,1.0,0.0,0.0,1.0
SOLUSDT,2023-03-21,1.0,0.0,0.0,1.0
SOLUSDT,2023-03-22,1.0,0.0,0.0,1.0
SOLUSDT,2023-03-23,1.0,0.0,0.0,1.0
SOLUSDT,2023-03-24,0.0,0.9993,0.0007,0.0
SOLUSDT,2023-03-25,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-03-26,0.0,1.0,0.0,0.0
SOLUSDT,2023-03-27,0.0,1.0,0.0,0.0
SOLUSDT,2023-03-28,0.0,1.0,0.0,0.0
SOLUSDT,2023-03-29,0.0,1.0,0.0,0.0
SOLUSDT,2023-03-30,0.0,0.9997,0.0003,0.0
SOLUSDT,2023-03-31,1.0,0.0,0.0,1.0
SOLUSDT,2023-04-01,1.0,0.0,0.0,1.0
SOLUSDT,2023-04-02,0.0,0.9917,0.0083,0.0
SOLUSDT,2023-04-03,1.0,0.0,0.0,1.0
SOLUSDT,2023-04-04,1.0,0.0,0.0,1.0
SOLUSDT,2023-04-05,0.0,0.9946,0.0054,0.0
SOLUSDT,2023-04-06,0.753,0.247,0.0,0.753
SOLUSDT,2023-04-07,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-04-08,0.0,1.0,0.0,0.0
SOLUSDT,2023-04-09,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-04-10,1.0,0.0,0.0,1.0
SOLUSDT,2023-04-11,1.0,0.0,0.0,1.0
SOLUSDT,2023-04-12,1.0,0.0,0.0,1.0
SOLUSDT,2023-04-13,1.0,0.0,0.0,1.0
SOLUSDT,2023-04-14,1.0,0.0,0.0,1.0
SOLUSDT,2023-04-15,1.0,0.0,0.0,1.0
SOLUSDT,2023-04-16,1.0,0.0,0.0,1.0
SOLUSDT,2023-04-17,1.0,0.0,0.0,1.0
SOLUSDT,2023-04-18,1.0,0.0,0.0,1.0
SOLUSDT,2023-04-19,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-04-20,0.0,1.0,0.0,0.0
SOLUSDT,2023-04-21,0.0,1.0,0.0,0.0
SOLUSDT,2023-04-22,0.0,1.0,0.0,0.0
SOLUSDT,2023-04-23,0.0,1.0,0.0,0.0
SOLUSDT,2023-04-24,0.0,1.0,0.0,0.0
SOLUSDT,2023-04-25,0.0,1.0,0.0,0.0
SOLUSDT,2023-04-26,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-04-27,0.9988,0.0012,0.0,0.9988
SOLUSDT,2023-04-28,1.0,0.0,0.0,1.0
SOLUSDT,2023-04-29,1.0,0.0,0.0,1.0
SOLUSDT,2023-04-30,1.0,0.0,0.0,1.0
SOLUSDT,2023-05-01,1.0,0.0,0.0,1.0
SOLUSDT,2023-05-02,1.0,0.0,0.0,1.0
SOLUSDT,2023-05-03,1.0,0.0,0.0,1.0
SOLUSDT,2023-05-04,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-05-05,0.0,1.0,0.0,0.0
SOLUSDT,2023-05-06,0.0,1.0,0.0,0.0
SOLUSDT,2023-05-07,0.0,1.0,0.0,0.0
SOLUSDT,2023-05-08,0.0,1.0,0.0,0.0
SOLUSDT,2023-05-09,0.0,1.0,0.0,0.0
SOLUSDT,2023-05-10,0.0,1.0,0.0,0.0
SOLUSDT,2023-05-11,0.0,1.0,0.0,0.0
SOLUSDT,2023-05-12,0.0,1.0,0.0,0.0
SOLUSDT,2023-05-13,0.0,1.0,0.0,0.0
SOLUSDT,2023-05-14,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-05-15,1.0,0.0,0.0,1.0
SOLUSDT,2023-05-16,0.0,0.9944,0.0056,0.0
SOLUSDT,2023-05-17,0.9982,0.0018,0.0,0.9982
SOLUSDT,2023-05-18,0.9986,0.0014,0.0,0.9986
SOLUSDT,2023-05-19,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-05-20,0.0,1.0,0.0,0.0
SOLUSDT,2023-05-21,0.0,1.0,0.0,0.0
SOLUSDT,2023-05-22,0.0,1.0,0.0,0.0
SOLUSDT,2023-05-23,0.0,1.0,0.0,0.0
SOLUSDT,2023-05-24,0.0,1.0,0.0,0.0
SOLUSDT,2023-05-25,0.0,1.0,0.0,0.0
SOLUSDT,2023-05-26,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-05-27,0.9995,0.0005,0.0,0.9995
SOLUSDT,2023-05-28,1.0,0.0,0.0,1.0
SOLUSDT,2023-05-29,1.0,0.0,0.0,1.0
SOLUSDT,2023-05-30,1.0,0.0,0.0,1.0
SOLUSDT,2023-05-31,1.0,0.0,0.0,1.0
SOLUSDT,2023-06-01,1.0,0.0,0.0,1.0
SOLUSDT,2023-06-02,1.0,0.0,0.0,1.0
SOLUSDT,2023-06-03,1.0,0.0,0.0,1.0
SOLUSDT,2023-06-04,1.0,0.0,0.0,1.0
SOLUSDT,2023-06-05,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-06-06,0.0,1.0,0.0,0.0
SOLUSDT,2023-06-07,0.0,1.0,0.0,0.0
SOLUSDT,2023-06-08,0.0,1.0,0.0,0.0
SOLUSDT,2023-06-09,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-06-10,0.0,0.9978,0.0022,0.0
SOLUSDT,2023-06-11,0.0,0.9962,0.0038,0.0
SOLUSDT,2023-06-12,0.0,0.9976,0.0024,0.0
SOLUSDT,2023-06-13,0.0,0.9982,0.0018,0.0
SOLUSDT,2023-06-14,0.0,0.9996,0.0004,0.0
SOLUSDT,2023-06-15,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-06-16,0.0,1.0,0.0,0.0
SOLUSDT,2023-06-17,0.0,1.0,0.0,0.0
SOLUSDT,2023-06-18,0.0,0.9997,0.0003,0.0
SOLUSDT,2023-06-19,1.0,0.0,0.0,1.0
SOLUSDT,2023-06-20,1.0,0.0,0.0,1.0
SOLUSDT,2023-06-21,1.0,0.0,0.0,1.0
SOLUSDT,2023-06-22,1.0,0.0,0.0,1.0
SOLUSDT,2023-06-23,1.0,0.0,0.0,1.0
SOLUSDT,2023-06-24,1.0,0.0,0.0,1.0
SOLUSDT,2023-06-25,1.0,0.0,0.0,1.0
SOLUSDT,2023-06-26,1.0,0.0,0.0,1.0
SOLUSDT,2023-06-27,0.0,0.9995,0.0005,0.0
SOLUSDT,2023-06-28,0.0,0.9997,0.0003,0.0
SOLUSDT,2023-06-29,1.0,0.0,0.0,1.0
SOLUSDT,2023-06-30,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-01,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-02,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-03,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-04,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-05,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-06,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-07,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-08,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-09,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-10,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-11,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-12,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-13,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-14,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-15,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-16,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-17,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-18,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-19,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-20,0.0,0.9994,0.0006,0.0
SOLUSDT,2023-07-21,0.0,1.0,0.0,0.0
SOLUSDT,2023-07-22,0.0,1.0,0.0,0.0
SOLUSDT,2023-07-23,0.0,1.0,0.0,0.0
SOLUSDT,2023-07-24,0.0,1.0,0.0,0.0
SOLUSDT,2023-07-25,0.0,1.0,0.0,0.0
SOLUSDT,2023-07-26,0.0,1.0,0.0,0.0
SOLUSDT,2023-07-27,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-07-28,0.0,0.9993,0.0007,0.0
SOLUSDT,2023-07-29,1.0,0.0,0.0,1.0
SOLUSDT,2023-07-30,0.0,0.9714,0.0286,0.0
SOLUSDT,2023-07-31,1.0,0.0,0.0,1.0
SOLUSDT,2023-08-01,1.0,0.0,0.0,1.0
SOLUSDT,2023-08-02,0.0,0.9994,0.0006,0.0
SOLUSDT,2023-08-03,0.0,1.0,0.0,0.0
SOLUSDT,2023-08-04,0.0,1.0,0.0,0.0
SOLUSDT,2023-08-05,0.0,1.0,0.0,0.0
SOLUSDT,2023-08-06,0.0,1.0,0.0,0.0
SOLUSDT,2023-08-07,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-08-08,0.9998,0.0002,0.0,0.9998
SOLUSDT,2023-08-09,1.0,0.0,0.0,1.0
SOLUSDT,2023-08-10,1.0,0.0,0.0,1.0
SOLUSDT,2023-08-11,1.0,0.0,0.0,1.0
SOLUSDT,2023-08-12,1.0,0.0,0.0,1.0
SOLUSDT,2023-08-13,1.0,0.0,0.0,1.0
SOLUSDT,2023-08-14,1.0,0.0,0.0,1.0
SOLUSDT,2023-08-15,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-08-16,0.0,1.0,0.0,0.0
SOLUSDT,2023-08-17,0.0,1.0,0.0,0.0
SOLUSDT,2023-08-18,0.0,1.0,0.0,0.0
SOLUSDT,2023-08-19,0.0,1.0,0.0,0.0
SOLUSDT,2023-08-20,0.0,1.0,0.0,0.0
SOLUSDT,2023-08-21,0.0,1.0,0.0,0.0
SOLUSDT,2023-08-22,0.0,1.0,0.0,0.0
SOLUSDT,2023-08-23,0.0,1.0,0.0,0.0
SOLUSDT,2023-08-24,0.0,1.0,0.0,0.0
SOLUSDT,2023-08-25,0.0,1.0,0.0,0.0
SOLUSDT,2023-08-26,0.0,1.0,0.0,0.0
SOLUSDT,2023-08-27,0.0,1.0,0.0,0.0
SOLUSDT,2023-08-28,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-08-29,1.0,0.0,0.0,1.0
SOLUSDT,2023-08-30,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-08-31,0.0,1.0,0.0,0.0
SOLUSDT,2023-09-01,0.0,1.0,0.0,0.0
SOLUSDT,2023-09-02,0.0,1.0,0.0,0.0
SOLUSDT,2023-09-03,0.0,1.0,0.0,0.0
SOLUSDT,2023-09-04,0.0,1.0,0.0,0.0
SOLUSDT,2023-09-05,0.0,1.0,0.0,0.0
SOLUSDT,2023-09-06,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-09-07,0.9996,0.0004,0.0,0.9996
SOLUSDT,2023-09-08,1.0,0.0,0.0,1.0
SOLUSDT,2023-09-09,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-09-10,0.0,1.0,0.0,0.0
SOLUSDT,2023-09-11,0.0,1.0,0.0,0.0
SOLUSDT,2023-09-12,0.0,1.0,0.0,0.0
SOLUSDT,2023-09-13,0.0,1.0,0.0,0.0
SOLUSDT,2023-09-14,0.0,1.0,0.0,0.0
SOLUSDT,2023-09-15,0.0,1.0,0.0,0.0
SOLUSDT,2023-09-16,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-09-17,1.0,0.0,0.0,1.0
SOLUSDT,2023-09-18,1.0,0.0,0.0,1.0
SOLUSDT,2023-09-19,1.0,0.0,0.0,1.0
SOLUSDT,2023-09-20,1.0,0.0,0.0,1.0
SOLUSDT,2023-09-21,1.0,0.0,0.0,1.0
SOLUSDT,2023-09-22,1.0,0.0,0.0,1.0
SOLUSDT,2023-09-23,1.0,0.0,0.0,1.0
SOLUSDT,2023-09-24,1.0,0.0,0.0,1.0
SOLUSDT,2023-09-25,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-09-26,0.0,1.0,0.0,0.0
SOLUSDT,2023-09-27,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-09-28,1.0,0.0,0.0,1.0
SOLUSDT,2023-09-29,1.0,0.0,0.0,1.0
SOLUSDT,2023-09-30,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-01,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-02,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-03,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-04,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-05,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-06,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-07,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-08,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-10-09,0.0,1.0,0.0,0.0
SOLUSDT,2023-10-10,0.0,1.0,0.0,0.0
SOLUSDT,2023-10-11,0.0,1.0,0.0,0.0
SOLUSDT,2023-10-12,0.0,1.0,0.0,0.0
SOLUSDT,2023-10-13,0.0,1.0,0.0,0.0
SOLUSDT,2023-10-14,0.0,1.0,0.0,0.0
SOLUSDT,2023-10-15,0.0,0.9999,0.0001,0.0
SOLUSDT,2023-10-16,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-17,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-18,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-19,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-20,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-21,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-22,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-23,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-24,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-25,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-26,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-27,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-28,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-29,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-30,1.0,0.0,0.0,1.0
SOLUSDT,2023-10-31,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-01,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-02,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-03,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-04,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-05,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-06,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-07,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-08,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-09,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-10,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-11,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-12,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-13,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-14,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-15,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-16,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-17,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-18,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-19,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-20,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-21,0.0,0.0004,0.9996,0.0
SOLUSDT,2023-11-22,0.0,0.0,1.0,0.0
SOLUSDT,2023-11-23,0.0,0.0,1.0,0.0
SOLUSDT,2023-11-24,0.0,0.0001,0.9999,0.0
SOLUSDT,2023-11-25,0.7505,0.0,0.2495,0.7505
SOLUSDT,2023-11-26,0.0,0.0004,0.9996,0.0
SOLUSDT,2023-11-27,0.0,0.0003,0.9997,0.0
SOLUSDT,2023-11-28,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-29,1.0,0.0,0.0,1.0
SOLUSDT,2023-11-30,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-01,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-02,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-03,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-04,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-05,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-06,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-07,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-08,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-09,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-10,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-11,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-12,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-13,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-14,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-15,0.0,0.9874,0.0126,0.0
SOLUSDT,2023-12-16,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-17,0.0,0.9884,0.0116,0.0
SOLUSDT,2023-12-18,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-19,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-20,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-21,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-22,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-23,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-24,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-25,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-26,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-27,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-28,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-29,1.0,0.0,0.0,1.0
SOLUSDT,2023-12-30,0.0,0.9941,0.0059,0.0
SOLUSDT,2023-12-31,0.0,0.9975,0.0025,0.0
SOLUSDT,2024-01-01,0.0,0.9982,0.0018,0.0
SOLUSDT,2024-01-02,0.0,0.9972,0.0028,0.0
SOLUSDT,2024-01-03,0.0,0.9927,0.0073,0.0
SOLUSDT,2024-01-04,1.0,0.0,0.0,1.0
SOLUSDT,2024-01-05,0.0,0.724,0.276,0.0
SOLUSDT,2024-01-06,0.0,0.717,0.283,0.0
SOLUSDT,2024-01-07,0.0,0.7067,0.2933,0.0
SOLUSDT,2024-01-08,0.0,0.6957,0.3043,0.0
SOLUSDT,2024-01-09,0.0,0.691,0.309,0.0
SOLUSDT,2024-01-10,1.0,0.0,0.0,1.0
SOLUSDT,2024-01-11,0.0,0.9873,0.0127,0.0
SOLUSDT,2024-01-12,0.0,0.9871,0.0129,0.0
SOLUSDT,2024-01-13,1.0,0.0,0.0,1.0
SOLUSDT,2024-01-14,1.0,0.0,0.0,1.0
SOLUSDT,2024-01-15,0.0,0.9977,0.0023,0.0
SOLUSDT,2024-01-16,0.0,0.9979,0.0021,0.0
SOLUSDT,2024-01-17,0.7883,0.2117,0.0,0.7883
SOLUSDT,2024-01-18,0.0,0.9797,0.0203,0.0
SOLUSDT,2024-01-19,1.0,0.0,0.0,1.0
SOLUSDT,2024-01-20,0.0,0.9993,0.0007,0.0
SOLUSDT,2024-01-21,0.0,0.9999,0.0001,0.0
SOLUSDT,2024-01-22,0.0,1.0,0.0,0.0
SOLUSDT,2024-01-23,0.0,1.0,0.0,0.0
SOLUSDT,2024-01-24,0.0,1.0,0.0,0.0
SOLUSDT,2024-01-25,0.0,1.0,0.0,0.0
SOLUSDT,2024-01-26,0.0,0.9994,0.0006,0.0
SOLUSDT,2024-01-27,1.0,0.0,0.0,1.0
SOLUSDT,2024-01-28,1.0,0.0,0.0,1.0
SOLUSDT,2024-01-29,1.0,0.0,0.0,1.0
SOLUSDT,2024-01-30,1.0,0.0,0.0,1.0
SOLUSDT,2024-01-31,1.0,0.0,0.0,1.0
SOLUSDT,2024-02-01,1.0,0.0,0.0,1.0
SOLUSDT,2024-02-02,1.0,0.0,0.0,1.0
SOLUSDT,2024-02-03,1.0,0.0,0.0,1.0
SOLUSDT,2024-02-04,0.0,0.9998,0.0002,0.0
SOLUSDT,2024-02-05,0.0,1.0,0.0,0.0
SOLUSDT,2024-02-06,0.0,0.9999,0.0001,0.0
SOLUSDT,2024-02-07,1.0,0.0,0.0,1.0
SOLUSDT,2024-02-08,1.0,0.0,0.0,1.0
SOLUSDT,2024-02-09,1.0,0.0,0.0,1.0
SOLUSDT,2024-02-10,1.0,0.0,0.0,1.0
SOLUSDT,2024-02-11,1.0,0.0,0.0,1.0
SOLUSDT,2024-02-12,1.0,0.0,0.0,1.0
SOLUSDT,2024-02-13,1.0,0.0,0.0,1.0
SOLUSDT,2024-02-14,1.0,0.0,0.0,1.0
SOLUSDT,2024-02-15,1.0,0.0,0.0,1.0
SOLUSDT,2024-02-16,1.0,0.0,0.0,1.0
SOLUSDT,2024-02-17,0.0,0.9946,0.0054,0.0
SOLUSDT,2024-02-18,1.0,0.0,0.0,1.0
SOLUSDT,2024-02-19,0.0,0.9999,0.0001,0.0
SOLUSDT,2024-02-20,0.0,1.0,0.0,0.0
SOLUSDT,2024-02-21,0.0,1.0,0.0,0.0
SOLUSDT,2024-02-22,0.0,1.0,0.0,0.0
SOLUSDT,2024-02-23,0.0,1.0,0.0,0.0
SOLUSDT,2024-02-24,0.0,1.0,0.0,0.0
SOLUSDT,2024-02-25,0.0,1.0,0.0,0.0
SOLUSDT,2024-02-26,0.0,1.0,0.0,0.0
SOLUSDT,2024-02-27,0.0,0.9999,0.0001,0.0
SOLUSDT,2024-02-28,1.0,0.0,0.0,1.0
SOLUSDT,2024-02-29,1.0,0.0,0.0,1.0
SOLUSDT,2024-03-01,1.0,0.0,0.0,1.0
SOLUSDT,2024-03-02,1.0,0.0,0.0,1.0
SOLUSDT,2024-03-03,1.0,0.0,0.0,1.0
SOLUSDT,2024-03-04,1.0,0.0,0.0,1.0
SOLUSDT,2024-03-05,1.0,0.0,0.0,1.0
SOLUSDT,2024-03-06,1.0,0.0,0.0,1.0
SOLUSDT,2024-03-07,1.0,0.0,0.0,1.0
SOLUSDT,2024-03-08,1.0,0.0,0.0,1.0
SOLUSDT,2024-03-09,1.0,0.0,0.0,1.0
